ar,aldur,eining,tegund,medaltal,tekjur
1990,16 - 24 ára,10,heildartekjur,2692.6760131770475,736.7161572052402
1990,16 - 24 ára,20,heildartekjur,2692.6760131770475,1081.3786868919021
1990,16 - 24 ára,30,heildartekjur,2692.6760131770475,1408.8080900942311
1990,16 - 24 ára,40,heildartekjur,2692.6760131770475,1796.553435991726
1990,16 - 24 ára,50,heildartekjur,2692.6760131770475,2218.765034857887
1990,16 - 24 ára,60,heildartekjur,2692.6760131770475,2705.600858040297
1990,16 - 24 ára,70,heildartekjur,2692.6760131770475,3205.361526085957
1990,16 - 24 ára,80,heildartekjur,2692.6760131770475,3937.769401670114
1990,16 - 24 ára,90,heildartekjur,2692.6760131770475,5178.554508542097
1990,16 - 24 ára,99,heildartekjur,2692.6760131770475,10219.24400520953
1991,16 - 24 ára,10,heildartekjur,2698.505137446877,742.1897537970484
1991,16 - 24 ára,20,heildartekjur,2698.505137446877,1093.116430864131
1991,16 - 24 ára,30,heildartekjur,2698.505137446877,1435.975827998637
1991,16 - 24 ára,40,heildartekjur,2698.505137446877,1819.1716247960262
1991,16 - 24 ára,50,heildartekjur,2698.505137446877,2242.7038212562984
1991,16 - 24 ára,60,heildartekjur,2698.505137446877,2714.6396973120304
1991,16 - 24 ára,70,heildartekjur,2698.505137446877,3214.8110531317802
1991,16 - 24 ára,80,heildartekjur,2698.505137446877,3952.9671669625404
1991,16 - 24 ára,90,heildartekjur,2698.505137446877,5171.126436781608
1991,16 - 24 ára,99,heildartekjur,2698.505137446877,10144.604515215091
1992,16 - 24 ára,10,heildartekjur,2510.371159982751,640.2028460543338
1992,16 - 24 ára,20,heildartekjur,2510.371159982751,989.4043984476068
1992,16 - 24 ára,30,heildartekjur,2510.371159982751,1323.0858818456231
1992,16 - 24 ára,40,heildartekjur,2510.371159982751,1680.0474687365245
1992,16 - 24 ára,50,heildartekjur,2510.371159982751,2099.089331608452
1992,16 - 24 ára,60,heildartekjur,2510.371159982751,2556.931366968521
1992,16 - 24 ára,70,heildartekjur,2510.371159982751,3022.5334368262183
1992,16 - 24 ára,80,heildartekjur,2510.371159982751,3705.4164726175077
1992,16 - 24 ára,90,heildartekjur,2510.371159982751,4846.1415437688665
1992,16 - 24 ára,99,heildartekjur,2510.371159982751,9401.281793876671
1993,16 - 24 ára,10,heildartekjur,2348.5254051904144,551.7170793145735
1993,16 - 24 ára,20,heildartekjur,2348.5254051904144,902.1319810413972
1993,16 - 24 ára,30,heildartekjur,2348.5254051904144,1211.5408836299757
1993,16 - 24 ára,40,heildartekjur,2348.5254051904144,1565.6836034602763
1993,16 - 24 ára,50,heildartekjur,2348.5254051904144,1960.8323224288222
1993,16 - 24 ára,60,heildartekjur,2348.5254051904144,2396.9870405356132
1993,16 - 24 ára,70,heildartekjur,2348.5254051904144,2810.7748500215434
1993,16 - 24 ára,80,heildartekjur,2348.5254051904144,3448.231745716085
1993,16 - 24 ára,90,heildartekjur,2348.5254051904144,4551.665904345232
1993,16 - 24 ára,99,heildartekjur,2348.5254051904144,9062.325809552218
1994,16 - 24 ára,10,heildartekjur,2371.3865335030514,539.6189170664838
1994,16 - 24 ára,20,heildartekjur,2371.3865335030514,917.7192467117072
1994,16 - 24 ára,30,heildartekjur,2371.3865335030514,1248.098175527922
1994,16 - 24 ára,40,heildartekjur,2371.3865335030514,1593.1606122915239
1994,16 - 24 ára,50,heildartekjur,2371.3865335030514,1993.2862038578282
1994,16 - 24 ára,60,heildartekjur,2371.3865335030514,2404.424426384673
1994,16 - 24 ára,70,heildartekjur,2371.3865335030514,2800.879140964131
1994,16 - 24 ára,80,heildartekjur,2371.3865335030514,3450.624367636019
1994,16 - 24 ára,90,heildartekjur,2371.3865335030514,4533.533078755834
1994,16 - 24 ára,99,heildartekjur,2371.3865335030514,9302.002284669865
1995,16 - 24 ára,10,heildartekjur,2441.1183458550054,556.1127592628267
1995,16 - 24 ára,20,heildartekjur,2441.1183458550054,949.7250369228793
1995,16 - 24 ára,30,heildartekjur,2441.1183458550054,1300.0038528221924
1995,16 - 24 ára,40,heildartekjur,2441.1183458550054,1675.5605214152702
1995,16 - 24 ára,50,heildartekjur,2441.1183458550054,2090.839529955693
1995,16 - 24 ára,60,heildartekjur,2441.1183458550054,2488.0629294291402
1995,16 - 24 ára,70,heildartekjur,2441.1183458550054,2910.5641815963527
1995,16 - 24 ára,80,heildartekjur,2441.1183458550054,3553.343864380659
1995,16 - 24 ára,90,heildartekjur,2441.1183458550054,4647.513773839338
1995,16 - 24 ára,99,heildartekjur,2441.1183458550054,9652.528607204778
